"","name","price","strings","company","type"
"1","Chicago 47 CG Extended",17000,47,"Lyon & Healy","Concert Grand Pedal Harp"
"2","Daphne 47EX",18300,47,"Salvi","Concert Grand Pedal Harp"
"3","Style 85 CG",22500,47,"Lyon & Healy","Concert Grand Pedal Harp"
"4","Aurora",23000,47,"Salvi","Concert Grand Pedal Harp"
"5","Style 100",24500,47,"Lyon & Healy","Concert Grand Pedal Harp"
"6","Apollo",26000,47,"Salvi","Concert Grand Pedal Harp"
"7","Style 30",26000,47,"Lyon & Healy","Concert Grand Pedal Harp"
"8","Style 2000 CG",26000,47,"Lyon & Healy","Concert Grand Pedal Harp"
"9","Diana",27900,47,"Salvi","Concert Grand Pedal Harp"
"10","Style 23",34000,47,"Lyon & Healy","Concert Grand Pedal Harp"
"11","Arianna",37900,47,"Salvi","Concert Grand Pedal Harp"
"12","Salzedo",38000,47,"Lyon & Healy","Concert Grand Pedal Harp"
"13","Daphne 47S",13950,47,"Salvi","Semi-Grand Pedal Harp"
"14","Daphne 47SE",14900,47,"Salvi","Semi-Grand Pedal Harp"
"15","Chicago 47 Concertino Extended",16000,47,"Lyon & Healy","Semi-Grand Pedal Harp"
"16","Arion SG",17000,47,"Salvi","Semi-Grand Pedal Harp"
"17","Arion SG Gold",19500,47,"Salvi","Semi-Grand Pedal Harp"
"18","Style 85 E",20500,47,"Lyon & Healy","Semi-Grand Pedal Harp"
"19","Chicago 40 Petite",11900,40,"Lyon & Healy","Petite Pedal Harp"
"20","Daphne 40",12500,40,"Salvi","Petite Pedal Harp"
"21","Prelude",5200,40,"Lyon & Healy","Lever Harp"
"22","Troubadour",4400,36,"Lyon & Healy","Lever Harp"
"23","Ogden",3050,34,"Lyon & Healy","Lever Harp"
"24","Chicago 40 Petite",11900,40,"Lyon & Healy","Petite Pedal Harp"
"25","Daphne 40",12500,40,"Salvi","Petite Pedal Harp"
"26","FH36",6595,36,"Dusty Strings","Celtic Harp"
"27","FH34",5595,34,"Dusty Strings","Celtic Harp"
"28","Crescendo",3715,34,"Dusty Strings","Celtic Harp"
"29","Ravenna 34",2765,34,"Dusty Strings","Celtic Harp"
"30","FH26",2695,26,"Dusty Strings","Celtic Harp"
"31","Allegro",2135,26,"Dusty Strings","Celtic Harp"
"32","Ravenna 26",1624,26,"Dusty Strings","Celtic Harp"
